,Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
21,202120280,07/01/2021,08:36,1SCH3,Operational,0.64,0.97,0.72,<1,<1
22,202120281,07/01/2021,08:44,1SCL1,Operational,0.81,0.18,0.69,<1,<1
23,202120282,07/01/2021,10:42,17550,Compliance,0.66,0.12,0,<1,<1
24,202120283,07/01/2021,11:18,1S07,Operational,0.62,0.74,0,<1,<1
25,202120284,07/01/2021,08:02,30950,Compliance,0.27,0.79,0,<1,<1
26,202120285,07/01/2021,08:31,32550,Compliance,0.5,0.33,0,<1,<1
27,202120286,07/01/2021,10:10,34550,Compliance,0.62,0.27,0,<1,<1
28,202120287,07/01/2021,09:36,35750,Compliance,0.36,0.69,0,<1,<1
29,202120288,07/01/2021,09:04,39750,Compliance,0.35,0.78,0,<1,<1
30,202120289,07/01/2021,11:52,3SC26,Operational,0.61,0.14,0,<1,<1
31,202120291,07/01/2021,10:11,20900,Operational,0.41,0.91,0,<1,<1
32,202120292,07/01/2021,09:36,21850,Compliance,0.29,0.76,0,<1,<1
33,202120293,07/01/2021,10:54,22050,Compliance,0.57,0.8,0,<1,<1
34,202120294,07/01/2021,07:38,23350,Compliance,0.45,0.83,0,<1,<1
35,202120295,07/01/2021,09:08,24150,Compliance,0.5,0.81,0,<1,<1
36,202120296,07/01/2021,08:44,25250,Compliance,0.28,0.79,0,<1,<1
37,202120297,07/01/2021,10:33,27000,Operational,0.71,0.93,0,<1,<1
38,202120298,07/01/2021,11:17,41350,Compliance,0.49,0.75,0,<1,<1
39,202120343,07/01/2021,10:18,76650,Compliance,0.22,0.63,0,<1,<1
40,202120345,07/02/2021,08:26,20900,Operational,0.62,0.68,0,<1,<1
41,202120346,07/02/2021,08:54,21150,Compliance,0.41,0.64,0,<1,<1
42,202120347,07/02/2021,09:26,21450,Compliance,0.38,0.68,0,<1,<1
43,202120348,07/02/2021,07:56,27000,Operational,0.65,0.73,0,<1,<1
44,202120349,07/02/2021,10:49,40150,Compliance,0.15,0.67,0,<1,<1
45,202120350,07/02/2021,11:30,40200,Operational,0.95,0.79,0,<1,<1
46,202120351,07/02/2021,10:19,44350,Compliance,0.16,0.72,0,<1,<1
47,202120352,07/02/2021,11:32,20050,Compliance,0.43,0.66,0,<1,<1
48,202120353,07/02/2021,11:04,23550,Compliance,0.41,0.67,0,<1,<1
49,202120354,07/02/2021,07:21,29350,Compliance,0.36,0.63,0,<1,<1
50,202120355,07/02/2021,09:49,50200,Operational,0.75,0.72,0,<1,<1
51,202120356,07/02/2021,10:10,50300,Operational,0.88,0.71,0,<1,<1
52,202120357,07/02/2021,09:21,51350,Compliance,0.35,0.61,0,<1,<1
53,202120358,07/02/2021,08:26,52450,Compliance,0.58,0.68,0,<1,<1
54,202120359,07/02/2021,08:49,58150,Compliance,0.42,0.73,0,<1,<1
55,202120373,07/02/2021,09:47,29850,Compliance,0.62,0.7,0,<1,<1
56,202120374,07/02/2021,11:51,43650,Compliance,0.42,0.74,0,<1,<1
57,202120375,07/02/2021,08:37,44950,Compliance,0.73,0.77,0,<1,<1
58,202120376,07/02/2021,11:11,45050,Compliance,0.55,0.65,0,<1,<1
59,202120377,07/02/2021,09:17,45650,Compliance,0.64,0.72,0,<1,<1
60,202120378,07/02/2021,07:58,76750,Compliance,0.45,0.66,0,<1,<1
61,202120379,07/02/2021,10:32,79050,Compliance,0.48,0.73,0,<1,<1
62,202120380,07/02/2021,12:25,10850,Compliance,0.39,0.63,0,<1,<1
63,202120381,07/02/2021,09:45,13050,Compliance,0.75,0.63,0,<1,<1
64,202120382,07/02/2021,08:56,17750,Compliance,0.86,0.66,0,<1,<1
65,202120383,07/02/2021,11:23,1S03,Operational,0.83,0.74,0.72,<1,<1
66,202120384,07/02/2021,10:18,1S03A,Operational,0.96,0.67,0.73,<1,<1
67,202120385,07/02/2021,10:55,1S03B,Operational,0.71,0.7,0.73,<1,<1
68,202120386,07/02/2021,11:48,1SCH3,Operational,0.63,0.75,0.73,<1,<1
69,202120387,07/02/2021,11:59,1SCL1,Operational,0.74,0.12,0.69,<1,<1
70,202120388,07/02/2021,10:05,13350,Compliance,0.55,0.72,0,<1,<1
71,202120389,07/02/2021,09:14,1S07,Operational,0.76,0.78,0,<1,<1
72,202120390,07/02/2021,12:05,30050,Compliance,0.5,0.71,0,<1,<1
73,202120391,07/02/2021,08:15,32150,Compliance,0.59,0.7,0,<1,<1
74,202120392,07/02/2021,11:33,32950,Compliance,0.5,0.52,0,<1,<1
75,202120393,07/02/2021,07:27,34650,Compliance,0.16,0.58,0,<1,<1
76,202120394,07/02/2021,10:34,35350,Compliance,0.52,0.18,0,<1,<1
77,202120395,07/02/2021,08:41,3SC26,Operational,0.79,0.1,0,<1,<1
78,202120450,07/03/2021,10:04,24650,Compliance,0.23,0.63,0,<1,<1
79,202120451,07/03/2021,09:22,25950,Compliance,0.48,0.66,0,<1,<1
80,202120452,07/03/2021,08:36,50200,Operational,0.87,0.63,0,<1,<1
81,202120453,07/03/2021,08:09,50300,Operational,0.81,0.83,0,<1,<1
82,202120454,07/03/2021,07:24,51050,Compliance,0.25,0.64,0,<1,<1
83,202120455,07/03/2021,07:03,58350,Compliance,0.63,0.62,0,<1,<1
84,202120456,07/03/2021,07:48,59350,Compliance,0.64,0.6,0,<1,<1
85,202120469,07/03/2021,12:26,40200,Operational,0.96,0.75,0,<1,<1
86,202120470,07/03/2021,13:29,40850,Compliance,0.78,0.65,0,<1,<1
87,202120471,07/03/2021,13:56,40950,Compliance,0.49,0.59,0,<1,<1
88,202120472,07/03/2021,12:58,42350,Compliance,0.65,0.58,0,<1,<1
89,202120473,07/03/2021,10:44,42950,Compliance,0.25,0.54,0,<1,<1
90,202120474,07/03/2021,11:11,43950,Compliance,0.06,0.54,0,<1,<1
91,202120475,07/03/2021,09:56,77050,Compliance,0.05,0.54,0,<1,<1
92,202120476,07/03/2021,09:32,77650,Compliance,0.45,0.67,0,<1,<1
93,202120477,07/03/2021,08:07,10550,Compliance,0.46,0.12,0,<1,<1
94,202120478,07/03/2021,08:50,17050,Compliance,0.25,0.59,0,<1,<1
95,202120479,07/03/2021,07:45,18450,Compliance,0.95,0.57,0,<1,<1
96,202120480,07/03/2021,10:38,1S03,Operational,0.72,0.67,0.74,<1,<1
97,202120481,07/03/2021,08:32,1S03A,Operational,1.1,0.71,0.72,<1,<1
98,202120482,07/03/2021,09:38,1S03B,Operational,0.76,0.64,0.72,<1,<1
99,202120483,07/03/2021,10:18,1SCH3,Operational,0.56,0.67,0.72,<1,<1
100,202120484,07/03/2021,10:27,1SCL1,Operational,0.83,0.11,0.73,<1,<1
101,202120485,07/03/2021,09:51,10250,Compliance,0.63,0.61,0,<1,<1
102,202120486,07/03/2021,10:19,13550,Compliance,0.61,0.63,0,<1,<1
103,202120487,07/03/2021,08:49,1S07,Operational,0.64,0.61,0,<1,<1
104,202120488,07/03/2021,08:07,34050,Compliance,0.54,0.62,0,<1,<1
105,202120489,07/03/2021,10:55,34150,Compliance,0.53,0.66,0,<1,<1
106,202120490,07/03/2021,11:29,35050,Compliance,0.73,0.1,0,<1,<1
107,202120491,07/03/2021,12:22,38650,Compliance,0.39,0.68,0,<1,<1
108,202120492,07/03/2021,07:34,3SC26,Operational,0.69,0.11,0,<1,<1
109,202120494,07/03/2021,07:13,20900,Operational,0.5,0.68,0,<1,<1
110,202120495,07/03/2021,08:39,21050,Compliance,0.56,0.67,0,<1,<1
111,202120496,07/03/2021,09:10,21350,Compliance,0.36,0.6,0,<1,<1
112,202120497,07/03/2021,07:51,21950,Compliance,0.55,0.71,0,<1,<1
113,202120498,07/03/2021,08:14,24950,Compliance,0.24,0.6,0,<1,<1
114,202120499,07/03/2021,09:43,26950,Compliance,0.23,0.61,0,<1,<1
115,202120500,07/03/2021,10:11,27000,Operational,0.59,0.67,0,<1,<1
116,202120501,07/03/2021,10:40,30350,Compliance,0.45,0.61,0,<1,<1
117,202120544,07/04/2021,10:36,20150,Compliance,0.58,0.63,0,<1,<1
118,202120545,07/04/2021,10:05,20650,Compliance,0.54,0.54,0,<1,<1
119,202120546,07/04/2021,11:09,24750,Compliance,0.58,0.59,0,<1,<1
120,202120547,07/04/2021,09:01,50200,Operational,0.75,0.59,0,<1,<1
121,202120548,07/04/2021,08:07,50300,Operational,0.85,0.56,0,<1,<1
122,202120549,07/04/2021,09:32,53550,Compliance,0.46,0.55,0,<1,<1
123,202120550,07/04/2021,07:03,58250,Compliance,0.37,0.56,0,<1,<1
124,202120551,07/04/2021,08:26,59050,Compliance,0.51,0.54,0,<1,<1
125,202120564,07/04/2021,12:27,40200,Operational,0.93,0.76,0,<1,<1
126,202120565,07/04/2021,12:48,40250,Compliance,0.96,0.79,0,<1,<1
127,202120566,07/04/2021,10:11,46250,Compliance,0.3,0.57,0,<1,<1
128,202120567,07/04/2021,11:46,47150,Compliance,0.12,0.56,0,<1,<1
129,202120568,07/04/2021,09:47,47650,Compliance,0.88,0.6,0,<1,<1
130,202120569,07/04/2021,10:54,77750,Compliance,0.02,0.58,0,<1,<1
131,202120570,07/04/2021,08:46,79550,Compliance,0.66,0.65,0,<1,<1
132,202120571,07/04/2021,08:51,11750,Compliance,0.32,0.1,0,<1,<1
133,202120572,07/04/2021,07:48,15250,Compliance,0.98,0.63,0,<1,<1
134,202120573,07/04/2021,08:13,16150,Compliance,0.6,0.56,0,<1,<1
135,202120574,07/04/2021,11:44,17950,Compliance,0.66,0.74,0,<1,<1
136,202120575,07/04/2021,10:41,1S03,Operational,0.67,0.65,0.71,<1,<1
137,202120576,07/04/2021,09:24,1S03A,Operational,0.94,0.62,0.71,<1,<1
138,202120577,07/04/2021,10:01,1S03B,Operational,0.77,0.71,0.72,<1,<1
139,202120578,07/04/2021,10:59,1SCH3,Operational,0.73,0.81,0.72,<1,<1
140,202120579,07/04/2021,11:13,1SCL1,Operational,0.94,0.11,0.67,<1,<1
141,202120580,07/04/2021,11:04,1S07,Operational,0.7,0.64,0,<1,<1
142,202120581,07/04/2021,07:39,30550,Compliance,0.29,0.58,0,<1,<1
143,202120582,07/04/2021,08:11,31450,Compliance,0.36,0.58,0,<1,<1
144,202120583,07/04/2021,08:52,31550,Compliance,0.21,0.56,0,<1,<1
145,202120584,07/04/2021,09:18,31750,Compliance,0.43,0.63,0,<1,<1
146,202120585,07/04/2021,09:51,33050,Compliance,0.45,0.58,0,<1,<1
147,202120586,07/04/2021,10:22,39950,Compliance,0.34,0.67,0,<1,<1
148,202120587,07/04/2021,11:36,3SC26,Operational,0.76,0.11,0,<1,<1
149,202120589,07/04/2021,06:58,20900,Operational,0.56,0.6,0,<1,<1
150,202120590,07/04/2021,09:32,22750,Compliance,0.43,0.64,0,<1,<1
151,202120591,07/04/2021,07:27,27000,Operational,0.78,0.59,0,<1,<1
152,202120592,07/04/2021,08:25,27350,Compliance,0.6,0.59,0,<1,<1
153,202120593,07/04/2021,07:57,28050,Compliance,0.57,0.58,0,<1,<1
154,202120594,07/04/2021,10:37,36950,Compliance,0.27,0.62,0,<1,<1
155,202120595,07/04/2021,10:15,40350,Compliance,0.79,0.61,0,<1,<1
156,202120638,07/05/2021,11:15,22350,Compliance,0.45,0.66,0,<1,<1
157,202120639,07/05/2021,10:34,28450,Compliance,0.64,0.64,0,<1,<1
158,202120640,07/05/2021,09:34,28550,Compliance,0.52,0.61,0,<1,<1
159,202120641,07/05/2021,08:51,50200,Operational,0.56,0.66,0,<1,<1
160,202120642,07/05/2021,08:28,50300,Operational,0.93,0.69,0,<1,<1
161,202120643,07/05/2021,07:17,51550,Compliance,0.15,0.64,0,<1,<1
162,202120644,07/05/2021,08:02,52550,Compliance,0.67,1.23,0,<1,<1
163,202120657,07/05/2021,08:52,25050,Compliance,0.51,0.66,0,<1,<1
164,202120658,07/05/2021,07:18,41550,Compliance,0.82,0.72,0,<1,<1
165,202120659,07/05/2021,08:04,43050,Compliance,0.57,0.64,0,<1,<1
166,202120660,07/05/2021,09:44,45750,Compliance,0.38,0.64,0,<1,<1
167,202120661,07/05/2021,11:42,76850,Compliance,0.57,0.74,0,<1,<1
168,202120662,07/05/2021,10:28,77350,Compliance,0.15,0.66,0,<1,<1
169,202120663,07/05/2021,12:23,78450,Compliance,0.04,0.54,0,<1,<1
170,202120664,07/05/2021,08:24,11150,Compliance,0.63,0.63,0,<1,<1
171,202120665,07/05/2021,11:40,11450,Compliance,0.93,0.63,0,<1,<1
172,202120666,07/05/2021,08:54,12550,Compliance,1.08,0.66,0,<1,<1
173,202120667,07/05/2021,09:20,1S03,Operational,0.64,0.73,0.71,<1,<1
174,202120668,07/05/2021,11:07,1S03A,Operational,0.93,0.69,0.72,<1,<1
175,202120669,07/05/2021,10:42,1S03B,Operational,0.63,0.71,0.72,<1,<1
176,202120670,07/05/2021,09:43,1SCH3,Operational,0.62,0.72,0.72,<1,<1
177,202120671,07/05/2021,09:54,1SCL1,Operational,0.99,0.13,0.69,<1,<1
178,202120672,07/05/2021,08:51,14950,Compliance,0.58,0.14,0,<1,<1
179,202120673,07/05/2021,09:14,1S07,Operational,0.68,0.62,0,<1,<1
180,202120674,07/05/2021,07:01,30450,Compliance,0.21,0.59,0,<1,<1
181,202120675,07/05/2021,07:28,31850,Compliance,0.3,0.59,0,<1,<1
182,202120676,07/05/2021,08:04,32750,Compliance,0.28,0.63,0,<1,<1
183,202120677,07/05/2021,10:04,33150,Compliance,0.61,0.12,0,<1,<1
184,202120678,07/05/2021,08:24,33850,Compliance,0.31,0.71,0,<1,<1
185,202120679,07/05/2021,09:34,3SC26,Operational,0.79,0.12,0,<1,<1
186,202120681,07/05/2021,08:36,20350,Compliance,0.28,0.61,0,<1,<1
187,202120682,07/05/2021,09:07,20900,Operational,0.51,0.63,0,<1,<1
188,202120683,07/05/2021,07:38,25450,Compliance,0.54,0.7,0,<1,<1
189,202120684,07/05/2021,09:40,27000,Operational,0.7,0.7,0,<1,<1
190,202120685,07/05/2021,11:13,40200,Operational,1.07,0.8,0,<1,<1
191,202120686,07/05/2021,10:11,40450,Compliance,0.2,0.59,0,<1,<1
192,202120687,07/05/2021,10:43,40550,Compliance,0.85,0.74,0,<1,<1
193,202120730,07/06/2021,12:22,20900,Operational,0.58,0.66,0,<1,<1
194,202120731,07/06/2021,10:56,21750,Compliance,0.25,0.56,0,<1,<1
195,202120732,07/06/2021,11:29,22250,Compliance,0.7,0.69,0.7,<1,<1
196,202120733,07/06/2021,09:43,26850,Compliance,0.64,0.66,0.69,<1,<1
197,202120736,07/06/2021,09:39,11250,Compliance,0.75,0.73,0,<1,<1
198,202120737,07/06/2021,10:16,17650,Compliance,1.0,0.71,0,<1,<1
199,202120738,07/06/2021,08:49,1S07,Operational,0.81,0.69,0.7,<1,<1
200,202120739,07/06/2021,11:23,40200,Operational,0.96,0.74,0,<1,<1
201,202120756,07/06/2021,09:33,30150,Compliance,0.47,0.87,0.7,<1,<1
202,202120757,07/06/2021,09:52,31050,Compliance,0.47,0.84,0.7,<1,<1
203,202120758,07/06/2021,10:42,31950,Compliance,0.48,0.79,0.7,<1,<1
204,202120759,07/06/2021,11:18,35750,Compliance,0.28,0.6,0.7,<1,<1
205,202120766,07/06/2021,07:53,46150,Compliance,0.44,0.7,0.7,<1,<1
206,202120767,07/06/2021,08:33,47550,Compliance,0.51,0.65,0.7,<1,<1
207,202120768,07/06/2021,09:44,78150,Compliance,0.57,0.72,0.7,<1,<1
208,202120771,07/06/2021,08:06,40750,Compliance,0.88,0.76,0,<1,<1
209,202120772,07/06/2021,09:15,44450,Compliance,0.33,0.64,0.71,<1,<1
210,202120773,07/06/2021,09:50,47850,Compliance,0.44,0.61,0,<1,<1
211,202120774,07/06/2021,08:35,76150,Compliance,0.62,0.61,0.7,<1,<1
212,202120777,07/06/2021,10:51,50200,Operational,0.63,0.61,0,<1,<1
213,202120778,07/06/2021,11:12,50300,Operational,0.91,0.66,0,<1,<1
214,202120779,07/06/2021,10:00,51450,Compliance,0.92,0.74,0.7,<1,<1
215,202120780,07/06/2021,08:59,57750,Compliance,0.59,0.64,0.71,<1,<1
216,202120789,07/06/2021,08:43,10750,Compliance,1.0,0.8,0.72,<1,<1
217,202120790,07/06/2021,11:17,17350,Compliance,0.59,0.67,0,<1,<1
218,202120791,07/06/2021,09:22,1S03A,Operational,0.96,0.74,0.7,<1,<1
219,202120792,07/06/2021,10:19,1S03B,Operational,0.73,0.82,0.7,<1,<1
220,202120795,07/06/2021,09:21,31650,Compliance,0.24,0.66,0.7,<1,<1
221,202120796,07/06/2021,08:36,33550,Compliance,0.3,0.61,0.71,<1,<1
222,202120797,07/06/2021,10:31,37450,Compliance,0.23,0.6,0.7,<1,<1
223,202120798,07/06/2021,11:19,3SC26,Operational,0.63,<0.10,0.69,<1,<1
224,202120801,07/06/2021,08:37,1S03,Operational,0.87,0.74,0.7,<1,<1
225,202120802,07/06/2021,09:20,1SCH3,Operational,0.67,0.88,0.7,<1,<1
226,202120803,07/06/2021,09:36,1SCL1,Operational,0.78,0.1,0.7,<1,<1
227,202120818,07/06/2021,09:41,20750,Compliance,0.36,0.61,0,<1,<1
228,202120819,07/06/2021,11:41,21550,Compliance,0.62,0.65,0.7,<1,<1
229,202120820,07/06/2021,10:22,22950,Compliance,0.42,0.68,0.7,<1,<1
230,202120821,07/06/2021,09:08,27000,Operational,0.83,0.72,0,<1,<1
231,202120822,07/06/2021,08:38,27750,Compliance,0.7,0.7,0,<1,<1
232,202120860,07/02/2021,07:50,34650,Compliance,0.54,0.68,0,<1,<1
233,202120869,07/03/2021,15:28,78850,Resample_Compliance,0.28,0.59,0,<1,<1
234,202120870,07/03/2021,15:40,78850,Resample_Compliance,0.32,0.6,0,<1,<1
235,202120871,07/03/2021,16:05,78850,Resample_Compliance,0.26,0.58,0,<1,<1
236,202120872,07/05/2021,10:51,77350,Compliance,0.33,0.57,0,<1,<1
237,202120883,07/07/2021,10:32,23750,Compliance,0.78,0.88,0,<1,<1
238,202120884,07/07/2021,10:12,24050,Compliance,0.47,0.71,0,<1,<1
239,202120885,07/07/2021,09:44,26850,Compliance,0.73,0.8,0,<1,<1
240,202120886,07/07/2021,07:10,50200,Operational,0.87,0.72,0,<1,<1
241,202120887,07/07/2021,07:34,50300,Operational,0.8,0.82,0,<1,<1
242,202120888,07/07/2021,08:43,51250,Compliance,0.39,0.61,0,<1,<1
243,202120889,07/07/2021,07:59,51950,Compliance,0.82,0.76,0,<1,<1
244,202120890,07/07/2021,08:49,11900,Operational,0.64,0.85,0,<1,<1
245,202120891,07/07/2021,08:18,12000,Operational,0.69,0.1,0,<1,<1
246,202120892,07/07/2021,10:04,14000,Operational,0.97,0.88,0,<1,<1
247,202120893,07/07/2021,08:27,14100,Operational,0.63,0.85,0,<1,<1
248,202120894,07/07/2021,09:21,14200,Operational,0.97,0.93,0,<1,<1
249,202120895,07/07/2021,07:34,18200,Operational,0.71,0.2,0,<1,<1
250,202120896,07/07/2021,10:26,18300,Operational,0.61,0.71,0,<1,<1
251,202120897,07/07/2021,07:54,18500,Operational,0.64,0.91,0,<1,<1
252,202120898,07/07/2021,09:41,18800,Operational,0.85,0.84,0,<1,<1
253,202120899,07/07/2021,10:14,20900,Operational,0.65,0.8,0,<1,<1
254,202120900,07/07/2021,07:42,21250,Compliance,0.45,0.74,0,<1,<1
255,202120901,07/07/2021,07:03,21650,Compliance,0.66,0.73,0,<1,<1
256,202120902,07/07/2021,09:16,23150,Compliance,0.83,0.88,0,<1,<1
257,202120903,07/07/2021,08:23,23250,Compliance,0.69,0.86,0,<1,<1
258,202120904,07/07/2021,10:56,27000,Operational,0.82,0.91,0,<1,<1
259,202120905,07/07/2021,11:38,41250,Compliance,0.57,0.78,0,<1,<1
260,202120910,07/07/2021,12:09,11050,Compliance,0.69,0.78,0,<1,<1
261,202120911,07/07/2021,12:27,1S07,Operational,0.8,0.87,0,<1,<1
262,202120912,07/07/2021,10:49,30850,Compliance,0.66,0.15,0,<1,<1
263,202120913,07/07/2021,08:57,32850,Compliance,0.33,0.76,0,<1,<1
264,202120914,07/07/2021,10:03,33250,Compliance,0.46,0.82,0,<1,<1
265,202120915,07/07/2021,11:54,34950,Compliance,0.62,0.79,0,<1,<1
266,202120916,07/07/2021,09:26,35650,Compliance,0.39,0.73,0,<1,<1
267,202120917,07/07/2021,11:31,3SC26,Operational,0.7,0.12,0,<1,<1
268,202120926,07/07/2021,10:55,40200,Operational,0.87,0.77,0,<1,<1
269,202120927,07/07/2021,11:23,41750,Compliance,0.61,0.76,0,<1,<1
270,202120928,07/07/2021,07:56,42850,Compliance,0.7,0.78,0,<1,<1
271,202120929,07/07/2021,10:14,44550,Compliance,0.51,0.74,0,<1,<1
272,202120930,07/07/2021,09:33,47750,Compliance,0.57,0.77,0,<1,<1
273,202120931,07/07/2021,08:27,76950,Compliance,0.4,0.71,0,<1,<1
274,202120932,07/07/2021,09:03,77150,Compliance,0.13,0.61,0,<1,<1
275,202120937,07/07/2021,09:51,12250,Compliance,0.88,0.88,0,<1,<1
276,202120938,07/07/2021,08:27,14450,Compliance,0.66,0.86,0,<1,<1
277,202120939,07/07/2021,08:02,14850,Compliance,0.76,0.84,0,<1,<1
278,202120940,07/07/2021,09:11,16950,Compliance,1.05,0.87,0,<1,<1
279,202120941,07/07/2021,11:30,1S03,Operational,0.85,0.82,0.71,<1,<1
280,202120942,07/07/2021,10:06,1S03A,Operational,0.96,0.81,0.72,<1,<1
281,202120943,07/07/2021,10:37,1S03B,Operational,0.7,0.92,0.71,<1,<1
282,202120944,07/07/2021,11:05,1SCH3,Operational,0.54,0.81,0.71,<1,<1
283,202120945,07/07/2021,11:12,1SCL1,Operational,0.76,0.18,0.68,<1,<1
284,202120947,07/07/2021,10:57,31200,Operational,0.41,0.84,0,<1,<1
285,202120948,07/07/2021,10:32,32200,Operational,0.46,0.79,0,<1,<1
286,202120949,07/07/2021,11:54,33100,Operational,0.57,0.1,0,<1,<1
287,202120950,07/07/2021,09:35,33300,Operational,0.75,0.14,0,<1,<1
288,202120951,07/07/2021,09:10,33700,Operational,0.66,0.14,0,<1,<1
289,202120952,07/07/2021,08:39,35000,Operational,0.45,0.71,0,<1,<1
290,202120953,07/07/2021,11:16,38300,Operational,0.58,0.88,0,<1,<1
291,202120954,07/07/2021,08:07,39800,Operational,0.23,0.78,0,<1,<1
292,202121022,07/08/2021,08:05,22550,Compliance,0.78,1,0,<1,<1
293,202121023,07/08/2021,07:26,28950,Compliance,0.28,0.81,0,<1,<1
294,202121024,07/08/2021,11:12,50050,Compliance,0.32,0.61,0,<1,<1
295,202121025,07/08/2021,10:46,50200,Operational,0.61,0.84,0,<1,<1
296,202121026,07/08/2021,10:09,50300,Operational,0.83,0.83,0,<1,<1
297,202121027,07/08/2021,09:08,52350,Compliance,0.37,0.57,0,<1,<1
298,202121028,07/08/2021,09:42,58850,Compliance,0.89,0.77,0,<1,<1
299,202121045,07/08/2021,12:34,40200,Operational,1.09,0.86,0,<1,<1
300,202121046,07/08/2021,10:20,41950,Compliance,0.5,0.96,0,<1,<1
301,202121047,07/08/2021,11:35,43550,Compliance,0.29,0.72,0,<1,<1
302,202121048,07/08/2021,12:13,44150,Compliance,0.94,0.83,0,<1,<1
303,202121049,07/08/2021,11:06,46450,Compliance,0.67,0.84,0,<1,<1
304,202121050,07/08/2021,09:45,77550,Compliance,0.22,0.73,0,<1,<1
305,202121051,07/08/2021,09:13,77850,Compliance,0.33,0.67,0,<1,<1
306,202121052,07/08/2021,08:38,78650,Compliance,0.23,0.66,0,<1,<1
307,202121053,07/08/2021,08:10,13150,Compliance,0.71,0.63,0,<1,<1
308,202121054,07/08/2021,10:40,16450,Compliance,0.68,0.88,0,<1,<1
309,202121055,07/08/2021,07:35,16650,Compliance,0.97,1,0,<1,<1
310,202121056,07/08/2021,09:41,18750,Compliance,0.71,0.75,0,<1,<1
311,202121057,07/08/2021,08:30,1S03,Operational,0.82,0.75,0.72,<1,<1
312,202121058,07/08/2021,10:57,1S03A,Operational,0.9,0.88,0.71,<1,<1
313,202121059,07/08/2021,10:09,1S03B,Operational,0.76,0.86,0.71,<1,<1
314,202121060,07/08/2021,08:46,1SCH3,Operational,0.7,0.94,0.72,<1,<1
315,202121061,07/08/2021,08:55,1SCL1,Operational,0.87,0.15,0.75,<1,<1
316,202121062,07/08/2021,11:37,1S07,Operational,0.86,0.81,0,<1,<1
317,202121063,07/08/2021,11:08,30750,Compliance,0.51,0.18,0,<1,<1
318,202121064,07/08/2021,09:03,31350,Compliance,0.38,0.8,0,<1,<1
319,202121065,07/08/2021,10:33,32050,Compliance,0.36,0.63,0,<1,<1
320,202121066,07/08/2021,09:57,34350,Compliance,0.68,0.73,0,<1,<1
321,202121067,07/08/2021,12:51,35450,Compliance,0.5,0.19,0,<1,<1
322,202121068,07/08/2021,12:04,3SC26,Operational,0.69,0.12,0,<1,<1
323,202121069,07/08/2021,08:39,13600,Operational,0.96,0.82,0,<1,<1
324,202121070,07/08/2021,08:55,13700,Operational,0.83,0.1,0,<1,<1
325,202121071,07/08/2021,09:24,13900,Operational,0.92,0.89,0,<1,<1
326,202121072,07/08/2021,09:55,15300,Operational,0.69,0.16,0,<1,<1
327,202121074,07/08/2021,08:02,18100,Operational,0.81,0.81,0,<1,<1
328,202121075,07/08/2021,10:17,18900,Operational,0.95,0.91,0,<1,<1
329,202121076,07/08/2021,10:48,19000,Operational,0.88,0.82,0,<1,<1
330,202121078,07/08/2021,10:38,20900,Operational,0.62,0.81,0,<1,<1
331,202121079,07/08/2021,12:42,24850,Compliance,0.32,0.77,0,<1,<1
